true_model,param,N,median_factor_abs,median_factor,factor_q16,factor_q84,pct_within_x1.1,pct_within_x1.25,pct_within_x1.5,pct_within_x2.0,MSA_percent
CarreauYasuda,a,98,1.3684089527405792,0.8816307489035283,0.24304391285350588,1.0969818639388398,33.6734693877551,43.87755102040816,55.10204081632652,67.3469387755102,36.840895274057914
CarreauYasuda,infinite_shear_viscosity,98,3.4165632971098177,1.2209138217514492,0.23482616834111172,7.791323821708916,5.1020408163265305,12.244897959183673,20.408163265306122,32.6530612244898,241.65632971098177
CarreauYasuda,k,98,1.2465008762339558,1.1004703044370048,0.9669549692598304,4.353723953585026,38.775510204081634,52.04081632653062,60.204081632653065,72.44897959183673,24.650087623395578
CarreauYasuda,n,98,1.1278409234320887,1.0062806140940745,0.7649980256288931,1.3569401231526321,42.857142857142854,61.224489795918366,75.51020408163265,86.73469387755102,12.784092343208876
CarreauYasuda,zero_shear_viscosity,98,1.0705107680678576,1.0422003030628253,0.9914392189675182,2.189445495827142,52.04081632653062,57.14285714285714,70.40816326530613,82.6530612244898,7.051076806785761
Giesekus,alpha,82,1.0093496348053923,1.0003663075675084,0.9721323141891204,1.3883831602987913,63.41463414634146,75.60975609756098,81.70731707317073,89.02439024390245,0.9349634805392304
Giesekus,polymer_viscosity,82,1.007702801233872,1.0000653852628392,0.9743602078234465,1.2705639302662344,65.85365853658537,79.26829268292683,87.8048780487805,93.90243902439023,0.7702801233872014
Giesekus,relaxation_time,82,1.0078380949254462,1.0001599230177967,0.9210158468096147,1.0929607458227817,69.51219512195121,87.8048780487805,92.6829268292683,96.34146341463415,0.7838094925446182
Giesekus,solvent_viscosity,82,1.0003961031836377,1.0000993772093116,0.9993612448161687,1.0016008396658693,100.0,100.0,100.0,100.0,0.039610318363769714
LinearPTT,epsilon,69,1.2658733460517286,0.9968937466552069,0.4843945863929044,1.320199523069287,40.57971014492754,47.82608695652174,57.971014492753625,72.46376811594203,26.587334605172863
LinearPTT,polymer_viscosity,69,1.1219475535098395,0.9186473563235755,0.6087976140212171,0.9999751695938223,47.82608695652174,60.86956521739131,76.81159420289855,94.20289855072464,12.194755350983954
LinearPTT,relaxation_time,69,1.1229161378755586,0.9103558721275005,0.5047439961281096,1.0000052697846726,46.3768115942029,59.42028985507246,69.56521739130434,84.05797101449275,12.291613787555855
LinearPTT,solvent_viscosity,69,1.000277085449116,0.9999137819416126,0.9968945879369019,1.0002224301923623,97.10144927536231,100.0,100.0,100.0,0.02770854491160879
LinearPTT,zeta,69,1.0038481320283716,1.0006061406663502,0.9905138925707879,1.0185077273780445,79.71014492753623,82.6086956521739,86.95652173913044,88.40579710144928,0.38481320283716425
Newtonian,viscosity,100,1.0,1.0,1.0,1.0000001222821107,100.0,100.0,100.0,100.0,0.0
OldroydB,polymer_viscosity,98,1.0000894976068644,1.0000654017296593,0.9999666479909176,1.000150118530749,100.0,100.0,100.0,100.0,0.008949760686438601
OldroydB,relaxation_time,98,1.0002521746065105,1.0002515492532258,1.0001835529811491,1.000326319494795,100.0,100.0,100.0,100.0,0.02521746065105024
OldroydB,solvent_viscosity,98,1.0000372014786465,1.0000345961920352,1.0000066967300292,1.0001498598437193,100.0,100.0,100.0,100.0,0.003720147864649803
