true_model,param,N,median_factor_abs,median_factor,factor_q16,factor_q84,pct_within_x1.1,pct_within_x1.25,pct_within_x1.5,pct_within_x2.0,MSA_percent
CarreauYasuda,a,44,1.5417587035827265,0.8542128772397133,0.25951005488266393,1.2871047666761184,11.363636363636363,27.27272727272727,50.0,65.9090909090909,54.17587035827265
CarreauYasuda,infinite_shear_viscosity,44,3.405483190639464,3.405483190639464,1.1394976227415998,15.213117035426352,2.272727272727273,6.8181818181818175,11.363636363636363,20.454545454545457,240.5483190639464
CarreauYasuda,k,44,1.955349038087573,1.900153974689817,0.8811745465995625,9.393781013554069,18.181818181818183,34.090909090909086,40.909090909090914,54.54545454545454,95.5349038087573
CarreauYasuda,n,44,1.907745101549083,1.2296899711988654,0.38480644110868967,2.079146131059041,9.090909090909092,20.454545454545457,31.818181818181817,56.81818181818182,90.7745101549083
CarreauYasuda,zero_shear_viscosity,44,1.061473276593846,1.0092978050878683,0.985287351901267,1.663772133854623,54.54545454545454,75.0,79.54545454545455,86.36363636363636,6.147327659384616
Giesekus,alpha,49,1.1320399647826611,0.9967894589806036,0.5657951246084534,1.1578286933138096,44.89795918367347,57.14285714285714,67.3469387755102,77.55102040816327,13.203996478266111
Giesekus,polymer_viscosity,49,1.0158528834961462,0.9960610047312908,0.9127510624627296,0.9999777628459324,79.59183673469387,89.79591836734694,91.83673469387756,97.95918367346938,1.585288349614622
Giesekus,relaxation_time,49,1.003543524030002,0.9998825793562112,0.9139934750108301,1.0030212260369025,81.63265306122449,89.79591836734694,91.83673469387756,91.83673469387756,0.354352403000191
Giesekus,solvent_viscosity,49,1.0027419899549335,1.0004499350789757,0.9977061409560283,1.0124398643098493,93.87755102040816,100.0,100.0,100.0,0.2741989954933466
LinearPTT,epsilon,58,2.4519322766606795,0.6948328347249888,0.12001639738313284,1.3376977955979505,17.24137931034483,29.310344827586203,37.93103448275862,46.55172413793103,145.19322766606794
LinearPTT,polymer_viscosity,58,1.1127225559428715,0.9637017800811655,0.7598271447456661,1.140427878719477,44.827586206896555,65.51724137931035,77.58620689655173,98.27586206896551,11.27225559428715
LinearPTT,relaxation_time,58,1.111666608736814,0.9447880837280618,0.7312089200187717,1.057689810337257,44.827586206896555,68.96551724137932,82.75862068965517,96.55172413793103,11.166660873681412
LinearPTT,solvent_viscosity,58,1.0057254024634386,0.997217231175154,0.9841587713155291,1.0089305788929,93.10344827586206,100.0,100.0,100.0,0.5725402463438556
LinearPTT,zeta,58,1.3054884978946977,1.1773740954359924,0.7904437588902372,2.563714812529479,18.96551724137931,39.6551724137931,62.06896551724138,70.6896551724138,30.548849789469767
Newtonian,viscosity,100,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,0.0
OldroydB,polymer_viscosity,83,1.000185358174801,0.9999301259580387,0.9993705467715401,1.0002231754303188,79.51807228915662,84.33734939759037,85.54216867469879,90.36144578313254,0.018535817480103134
OldroydB,relaxation_time,83,1.000344277406534,0.99993521778684,0.06305286428971954,1.0003013343620932,77.10843373493977,78.3132530120482,78.3132530120482,78.3132530120482,0.03442774065340881
OldroydB,solvent_viscosity,83,1.0000644166202104,0.9999847119074338,0.7547802996435768,1.0000599735212257,77.10843373493977,81.92771084337349,86.74698795180723,100.0,0.006441662021039463
